algorithm,input_type,n,trial,time_ms,mem_kb
bubblesort,random,5000,8,257.613,0
mergesort,random,5000,9,3.7092,0
quicksort,random,5000,9,3.9469,0
insertionsort,random,5000,9,123.407,0
selectionsort,random,5000,9,106.19,0
bubblesort,random,5000,9,204.861,0
mergesort,random,5000,10,1.6401,0
quicksort,random,5000,10,2.044,0
insertionsort,random,5000,10,118.244,0
selectionsort,random,5000,10,61.9714,0
bubblesort,random,5000,10,161.69,0
mergesort,sorted,5000,1,1.4463,20
quicksort,sorted,5000,1,2.0598,0
insertionsort,sorted,5000,1,0.0835,0
selectionsort,sorted,5000,1,66.0801,0
bubblesort,sorted,5000,1,0.0215,0
mergesort,sorted,5000,2,0.9317,0
quicksort,sorted,5000,2,1.1916,0
insertionsort,sorted,5000,2,0.0603,0
selectionsort,sorted,5000,2,100.192,0
bubblesort,sorted,5000,2,0.0678,0
mergesort,sorted,5000,3,1.1082,0
quicksort,sorted,5000,3,3.9757,0
insertionsort,sorted,5000,3,0.2523,0
selectionsort,sorted,5000,3,85.6178,0
bubblesort,sorted,5000,3,0.0342,0
mergesort,sorted,5000,4,1.3368,0
quicksort,sorted,5000,4,2.1753,0
insertionsort,sorted,5000,4,0.0803,0
selectionsort,sorted,5000,4,73.9202,0
bubblesort,sorted,5000,4,0.0214,0
mergesort,sorted,5000,5,0.9322,0
quicksort,sorted,5000,5,1.2291,0
insertionsort,sorted,5000,5,0.0482,0
selectionsort,sorted,5000,5,51.3546,0
bubblesort,sorted,5000,5,0.0213,0
mergesort,sorted,5000,6,0.9439,0
quicksort,sorted,5000,6,1.1935,0
insertionsort,sorted,5000,6,0.0605,0
selectionsort,sorted,5000,6,52.6881,0
bubblesort,sorted,5000,6,0.0214,0
mergesort,sorted,5000,7,0.9247,0
quicksort,sorted,5000,7,1.284,0
insertionsort,sorted,5000,7,0.0627,0
selectionsort,sorted,5000,7,54.0892,0
bubblesort,sorted,5000,7,0.0234,0
mergesort,sorted,5000,8,1.0819,0
quicksort,sorted,5000,8,1.9038,0
insertionsort,sorted,5000,8,0.0919,0
selectionsort,sorted,5000,8,80.3598,0
bubblesort,sorted,5000,8,0.0268,0
mergesort,sorted,5000,9,0.9722,0
quicksort,sorted,5000,9,1.2134,0
insertionsort,sorted,5000,9,0.0619,0
selectionsort,sorted,5000,9,68.0494,0
bubblesort,sorted,5000,9,0.0213,0
mergesort,sorted,5000,10,0.9298,0
quicksort,sorted,5000,10,1.3766,0
insertionsort,sorted,5000,10,0.0593,0
selectionsort,sorted,5000,10,91.7871,0
bubblesort,sorted,5000,10,0.0533,0
mergesort,reverse,5000,1,2.3561,20
quicksort,reverse,5000,1,3.1746,0
insertionsort,reverse,5000,1,231.638,0
selectionsort,reverse,5000,1,71.5172,0
bubblesort,reverse,5000,1,240.119,0
mergesort,reverse,5000,2,0.9106,0
quicksort,reverse,5000,2,1.1824,0
insertionsort,reverse,5000,2,159.835,0
selectionsort,reverse,5000,2,99.4658,0
bubblesort,reverse,5000,2,283.19,0
mergesort,reverse,5000,3,1.2585,0
quicksort,reverse,5000,3,1.454,0
insertionsort,reverse,5000,3,120.237,0
selectionsort,reverse,5000,3,101.792,0
bubblesort,reverse,5000,3,256.204,0
mergesort,reverse,5000,4,1.4405,0
quicksort,reverse,5000,4,1.6801,0
insertionsort,reverse,5000,4,118.988,0
selectionsort,reverse,5000,4,57.1301,0
bubblesort,reverse,5000,4,220.193,0
mergesort,reverse,5000,5,0.964,0
quicksort,reverse,5000,5,1.258,0
insertionsort,reverse,5000,5,131.249,0
selectionsort,reverse,5000,5,96.6248,0
bubblesort,reverse,5000,5,297.234,0
mergesort,reverse,5000,6,0.9785,0
quicksort,reverse,5000,6,1.2584,0
insertionsort,reverse,5000,6,128.292,0
selectionsort,reverse,5000,6,52.8411,0
bubblesort,reverse,5000,6,208.667,0
mergesort,reverse,5000,7,0.9627,0
quicksort,reverse,5000,7,1.2453,0
insertionsort,reverse,5000,7,116.96,0
selectionsort,reverse,5000,7,52.7842,0
bubblesort,reverse,5000,7,207.9,0
mergesort,reverse,5000,8,0.9167,0
quicksort,reverse,5000,8,1.2185,0
insertionsort,reverse,5000,8,116.5,0
selectionsort,reverse,5000,8,51.4002,0
bubblesort,reverse,5000,8,216.146,0
mergesort,reverse,5000,9,0.9899,0
quicksort,reverse,5000,9,1.2347,0
insertionsort,reverse,5000,9,122.956,0
selectionsort,reverse,5000,9,51.7314,0
bubblesort,reverse,5000,9,226.646,0
mergesort,reverse,5000,10,0.9887,0
quicksort,reverse,5000,10,1.2212,0
insertionsort,reverse,5000,10,117.306,0
selectionsort,reverse,5000,10,51.2122,0
bubblesort,reverse,5000,10,210.795,0
mergesort,random,10000,1,2.8313,40
quicksort,random,10000,1,2.8313,0
insertionsort,random,10000,1,238.695,0
selectionsort,random,10000,1,211.334,0
bubblesort,random,10000,1,635.058,0
mergesort,random,10000,2,2.8375,40
quicksort,random,10000,2,2.9568,0
insertionsort,random,10000,2,240.755,0
selectionsort,random,10000,2,205.738,0
bubblesort,random,10000,2,634.539,0
mergesort,random,10000,3,3.3273,40
quicksort,random,10000,3,2.9215,0
insertionsort,random,10000,3,242.183,0
selectionsort,random,10000,3,212.064,0
bubblesort,random,10000,3,640.752,0
mergesort,random,10000,4,2.8688,40
quicksort,random,10000,4,2.9647,0
insertionsort,random,10000,4,238.675,0
selectionsort,random,10000,4,206.279,0
bubblesort,random,10000,4,633.223,0
mergesort,random,10000,5,2.9245,40
quicksort,random,10000,5,2.9178,0
insertionsort,random,10000,5,244.751,0
selectionsort,random,10000,5,214.817,0
bubblesort,random,10000,5,627.919,0
mergesort,random,10000,6,3.0537,40
quicksort,random,10000,6,2.8534,0
insertionsort,random,10000,6,238.71,0
selectionsort,random,10000,6,205.383,0
bubblesort,random,10000,6,634.566,0
mergesort,random,10000,7,4.5386,40
quicksort,random,10000,7,2.8922,0
insertionsort,random,10000,7,243.222,0
selectionsort,random,10000,7,209.349,0
bubblesort,random,10000,7,637.054,0
mergesort,random,10000,8,3.1239,40
quicksort,random,10000,8,2.918,0
insertionsort,random,10000,8,241.796,0
selectionsort,random,10000,8,205.733,0
bubblesort,random,10000,8,634.989,0
mergesort,random,10000,9,2.8358,40
quicksort,random,10000,9,2.8984,0
insertionsort,random,10000,9,237.072,0
